index,position_label
0,0.0
1,0.0
2,0.0
3,1.0
4,1.0
5,1.0
6,2.0
7,2.0
8,2.0
9,3.0
10,3.0
11,3.0
12,4.0
13,4.0
14,4.0
15,5.0
16,5.0
17,5.0
18,6.0
19,6.0
20,6.0
21,7.0
22,7.0
23,7.0
24,8.0
25,8.0
26,8.0
27,9.0
28,9.0
29,9.0
30,10.0
31,10.0
32,10.0
33,11.0
34,11.0
35,11.0
36,12.0
37,12.0
38,12.0
39,13.0
40,13.0
41,13.0
42,14.0
43,14.0
44,14.0
45,15.0
46,15.0
47,15.0
48,0.0
49,0.0
50,0.0
51,1.0
52,1.0
53,1.0
54,2.0
55,2.0
56,2.0
57,3.0
58,3.0
59,3.0
60,4.0
61,4.0
62,4.0
63,5.0
64,5.0
65,5.0
66,6.0
67,6.0
68,6.0
69,7.0
70,7.0
71,7.0
72,8.0
73,8.0
74,8.0
75,9.0
76,9.0
77,9.0
78,10.0
79,10.0
80,10.0
81,11.0
82,11.0
83,11.0
84,12.0
85,12.0
86,12.0
87,13.0
88,13.0
89,13.0
90,14.0
91,14.0
92,14.0
93,15.0
94,15.0
95,15.0
96,0.0
97,0.0
98,0.0
99,1.0
100,1.0
101,1.0
102,2.0
103,2.0
104,2.0
105,3.0
106,3.0
107,3.0
108,4.0
109,4.0
110,4.0
111,5.0
112,5.0
113,5.0
114,6.0
115,6.0
116,6.0
117,7.0
118,7.0
119,7.0
120,8.0
121,8.0
122,8.0
123,9.0
124,9.0
125,9.0
126,10.0
127,10.0
128,10.0
129,11.0
130,11.0
131,11.0
132,12.0
133,12.0
134,12.0
135,13.0
136,13.0
137,13.0
138,14.0
139,14.0
140,14.0
141,15.0
142,15.0
143,15.0
