progress,loss,accuracy
0.01,1.0117,0.61
0.02,0.9697,0.86
0.03,0.6115,0.83
0.04,0.1606,0.83
0.04,0.061,0.92
0.05,0.0139,0.85
0.06,0.0017,0.89
0.07,0.0002,0.89
0.08,0.0006,0.9
0.09,0.0,0.88
0.1,0.0006,0.89
0.11,0.0,0.86
0.12,0.0,0.88
0.13,0.0009,0.86
0.14,0.0473,0.88
0.15,0.1157,0.88
0.16,0.1062,0.9
0.17,0.1062,0.9
0.17,0.1037,0.92
0.18,0.0718,0.93
0.19,0.0347,0.92
0.2,0.0157,0.93
0.21,0.1058,0.92
0.22,0.0682,0.88
0.23,0.0397,0.86
0.24,0.0131,0.89
0.25,0.0082,0.92
0.26,0.0402,0.9
0.27,0.0402,0.92
0.28,0.0746,0.92
0.29,0.0746,0.93
0.29,0.0896,0.93
0.3,0.1082,0.92
0.31,0.0896,0.88
0.32,0.0896,0.88
0.33,0.0538,0.89
0.34,0.014,0.92
0.35,0.006,0.93
0.36,0.005,0.92
0.37,0.0,0.92
0.38,0.0047,0.93
0.39,0.0001,0.94
0.4,0.0037,0.94
0.41,0.0045,0.9
0.42,0.0059,0.94
0.42,0.0145,0.94
0.43,0.0277,0.96
0.44,0.0287,0.94
0.45,0.0287,0.92
0.46,0.0131,0.89
0.47,0.0056,0.9
0.48,0.0037,0.94
0.49,0.044,0.94
0.5,0.0739,0.9
0.51,0.0827,0.96
0.52,0.0375,0.93
0.53,0.0171,0.89
0.54,0.0145,0.92
0.54,0.0004,0.93
0.55,0.0003,0.94
0.56,0.0,0.92
0.57,0.0,0.92
0.58,0.0,0.93
0.59,0.0,0.92
0.6,0.0,0.92
0.61,0.0003,0.93
0.62,0.0112,0.92
0.63,0.0112,0.92
0.64,0.0064,0.93
0.65,0.0035,0.93
0.66,0.0064,0.93
0.67,0.0,0.92
0.67,0.0206,0.92
0.68,0.0,0.92
0.69,0.0069,0.93
0.7,0.0192,0.93
0.71,0.0206,0.93
0.72,0.0198,0.93
0.73,0.003,0.93
0.74,0.0016,0.93
0.75,0.0016,0.94
0.76,0.0007,0.93
0.77,0.0013,0.93
0.78,0.0013,0.92
0.79,0.0172,0.93
0.79,0.0951,0.92
0.8,0.0613,0.93
0.81,0.0258,0.94
0.82,0.0232,0.94
0.83,0.0041,0.94
0.84,0.0129,0.92
0.85,0.0129,0.92
