progress,loss,accuracy
0.01,2.7853,0.06
0.02,2.7519,0.1
0.03,2.7519,0.06
0.04,2.7519,0.09
0.04,2.7251,0.09
0.05,2.7646,0.08
0.06,2.6921,0.08
0.07,2.6733,0.1
0.08,2.6733,0.1
0.09,2.6454,0.11
0.1,2.7022,0.13
0.11,2.7113,0.13
0.12,2.7113,0.15
0.13,2.6687,0.13
0.14,2.5392,0.12
0.15,2.5311,0.09
0.16,2.5038,0.09
0.17,2.5038,0.11
0.17,2.5301,0.09
0.18,2.5992,0.11
0.19,2.5301,0.12
0.2,2.6252,0.17
0.21,2.6195,0.18
0.22,2.6703,0.19
0.23,2.6094,0.19
0.24,2.6175,0.19
0.25,2.5088,0.22
0.26,2.4848,0.21
0.27,2.5295,0.18
0.28,2.5088,0.16
0.29,2.5768,0.13
0.29,2.6418,0.1
0.3,2.6417,0.15
0.31,2.645,0.15
0.32,2.6417,0.17
0.33,2.6541,0.2
0.34,2.5442,0.2
0.35,2.4685,0.19
0.36,2.4589,0.23
0.37,2.4589,0.34
0.38,2.5648,0.35
0.39,2.5182,0.34
0.4,2.5216,0.33
0.41,2.4097,0.29
0.42,2.4442,0.33
0.42,2.4132,0.3
0.43,2.4132,0.3
0.44,2.2444,0.28
0.45,2.0772,0.3
0.46,2.0772,0.31
0.47,2.2572,0.31
0.48,2.3995,0.31
0.49,2.6478,0.34
0.5,2.2572,0.32
0.51,2.3673,0.33
0.52,2.1974,0.33
0.53,2.4118,0.35
0.54,2.4606,0.33
0.54,2.4606,0.32
0.55,2.4547,0.32
0.56,2.3491,0.32
0.57,2.3491,0.31
0.58,2.298,0.31
0.59,2.3793,0.37
0.6,2.4071,0.35
0.61,2.4071,0.36
0.62,2.4853,0.31
0.63,2.4042,0.3
0.64,2.3146,0.28
0.65,2.1807,0.31
0.66,2.1807,0.28
0.67,2.0929,0.24
0.67,2.0929,0.26
0.68,2.1559,0.28
0.69,2.1559,0.33
0.7,1.9773,0.35
0.71,1.9902,0.39
0.72,2.16,0.38
0.73,2.1614,0.4
0.74,2.192,0.4
0.75,2.192,0.38
0.76,2.192,0.33
0.77,2.1334,0.38
0.78,2.1334,0.41
0.79,1.9758,0.36
0.79,2.2648,0.36
0.8,2.0529,0.35
0.81,2.1151,0.34
0.82,2.0529,0.35
0.83,2.0757,0.3
0.84,1.9842,0.33
0.85,2.0044,0.35
0.86,1.9936,0.34
0.87,1.6656,0.35
0.88,1.6656,0.38
0.89,1.7588,0.38
0.9,2.0893,0.35
0.91,2.0893,0.42
0.92,2.234,0.38
0.92,1.9063,0.37
0.93,1.9295,0.38
0.94,1.7031,0.39
0.95,1.9027,0.41
0.96,1.7612,0.4
0.97,1.9617,0.4
0.98,2.1713,0.37
0.99,1.9617,0.42
1.0,1.8524,0.42
1.01,1.9697,0.4
1.02,2.0272,0.42
1.03,2.1213,0.47
1.04,2.1213,0.42
1.04,2.0272,0.42
1.05,2.0023,0.39
1.06,1.9071,0.44
1.07,1.9071,0.44
1.08,1.8985,0.46
1.09,1.9266,0.4
1.1,1.7526,0.4
1.11,1.9391,0.4
1.12,1.8806,0.47
1.13,1.8806,0.42
1.14,1.6879,0.47
1.15,1.6558,0.41
1.16,1.7766,0.44
1.17,1.6558,0.46
1.17,1.6794,0.44
1.18,1.7247,0.44
1.19,1.6794,0.44
1.2,1.794,0.44
1.21,1.7491,0.44
1.22,1.7719,0.45
1.23,1.7684,0.45
1.24,1.7684,0.38
1.25,1.8271,0.42
1.26,1.9534,0.41
1.27,2.0843,0.44
1.28,2.0843,0.47
1.29,1.8695,0.43
1.29,1.8695,0.41
1.3,1.8251,0.4
1.31,1.8251,0.42
1.32,1.7641,0.44
1.33,1.7643,0.46
1.34,1.7643,0.48
1.35,1.896,0.46
1.36,1.7211,0.44
1.37,1.6927,0.42
1.38,1.7822,0.38
1.39,1.6927,0.35
1.4,1.4895,0.38
1.41,1.2395,0.42
1.42,1.3585,0.47
1.42,1.5238,0.47
1.43,1.6285,0.44
1.44,1.9352,0.43
1.45,1.917,0.47
1.46,1.9352,0.47
1.47,1.917,0.48
1.48,1.8535,0.47
1.49,1.9713,0.49
1.5,1.9713,0.51
1.51,1.8313,0.51
1.52,1.5319,0.48
1.53,1.5774,0.48
1.54,1.7942,0.46
1.54,1.6998,0.45
1.55,2.0287,0.42
1.56,1.7942,0.47
1.57,2.0936,0.42
1.58,1.9922,0.47
1.59,2.0982,0.5
1.6,2.0982,0.47
1.61,1.9922,0.48
1.62,1.8837,0.49
1.63,1.8796,0.47
1.64,1.678,0.46
1.65,1.6164,0.44
1.66,1.5902,0.43
1.67,1.6135,0.4
1.67,1.7048,0.45
1.68,1.7309,0.45
1.69,1.7898,0.43
1.7,1.7092,0.47
1.71,1.7092,0.46
1.72,1.508,0.46
1.73,1.7465,0.48
1.74,1.7465,0.44
1.75,1.818,0.47
1.76,1.7465,0.49
1.77,1.564,0.51
1.78,1.5354,0.5
1.79,1.6285,0.5
1.79,1.5354,0.5
1.8,1.5075,0.5
1.81,1.5065,0.5
1.82,1.6148,0.49
1.83,1.869,0.49
1.84,1.7697,0.49
1.85,1.6785,0.47
1.86,1.6785,0.5
1.87,1.6636,0.49
1.88,1.8191,0.47
1.89,1.8204,0.48
1.9,1.8204,0.48
1.91,1.9272,0.47
1.92,1.9245,0.47
1.92,1.8919,0.45
1.93,1.5425,0.43
1.94,1.8025,0.46
1.95,1.6534,0.49
1.96,1.8025,0.5
1.97,1.7937,0.45
1.98,1.7937,0.44
1.99,1.6924,0.44
2.0,1.5275,0.47
2.01,1.4963,0.46
2.02,1.5331,0.44
2.03,1.7133,0.51
2.04,1.682,0.49
2.04,1.3339,0.46
2.05,1.0982,0.51
2.06,1.364,0.47
2.07,1.4203,0.51
2.08,1.573,0.51
2.09,1.6678,0.51
2.1,1.5692,0.49
2.11,1.5692,0.51
2.12,1.4058,0.49
2.13,1.1302,0.52
2.14,1.3683,0.48
2.15,1.6246,0.47
2.16,1.6771,0.51
2.17,1.3357,0.51
2.17,1.2576,0.51
2.18,1.0587,0.47
2.19,1.2392,0.47
2.2,1.3323,0.45
2.21,1.3388,0.44
2.22,1.3607,0.44
2.23,1.3323,0.46
2.24,1.2857,0.47
2.25,1.4165,0.47
2.26,1.5781,0.48
2.27,1.5781,0.5
2.28,1.5432,0.47
2.29,1.8513,0.48
2.29,1.7851,0.49
2.3,1.8148,0.47
2.31,1.3369,0.47
2.32,1.2784,0.46
2.33,1.5521,0.47
2.34,1.6396,0.48
2.35,1.6967,0.48
2.36,1.6396,0.49
2.37,1.7173,0.53
2.38,1.7173,0.51
2.39,1.6048,0.49
2.4,1.5519,0.5
2.41,1.6173,0.51
2.42,1.6173,0.51
2.42,1.5627,0.51
2.43,1.7671,0.49
2.44,1.7671,0.5
2.45,1.7671,0.53
2.46,1.4819,0.5
2.47,1.5094,0.5
2.48,1.5094,0.53
2.49,1.4819,0.49
2.5,1.4158,0.49
2.51,1.2705,0.49
2.52,1.2042,0.48
2.53,1.1818,0.49
2.54,1.2066,0.48
2.54,1.6322,0.46
2.55,1.5017,0.49
2.56,1.4431,0.47
2.57,1.477,0.47
2.58,1.2878,0.46
2.59,1.2878,0.5
2.6,1.4202,0.5
2.61,1.5588,0.5
2.62,1.5825,0.51
2.63,1.811,0.47
2.64,1.5825,0.49
2.65,1.4862,0.49
2.66,1.4584,0.49
2.67,1.4331,0.49
2.67,1.6007,0.52
2.68,1.5806,0.49
2.69,1.5806,0.51
2.7,1.4033,0.51
2.71,1.3355,0.5
2.72,1.2788,0.51
2.73,1.3858,0.49
2.74,1.3873,0.51
2.75,1.3858,0.56
2.76,1.3873,0.49
2.77,1.41,0.51
2.78,1.41,0.53
2.79,1.2991,0.51
2.79,1.41,0.49
2.8,1.2242,0.48
2.81,1.521,0.47
2.82,1.5704,0.49
2.83,1.5958,0.49
2.84,1.5704,0.49
2.85,1.5704,0.52
2.86,1.5677,0.54
2.87,1.4863,0.54
2.88,1.5677,0.53
2.89,1.2554,0.51
2.9,1.5836,0.49
2.91,1.7602,0.53
2.92,1.4954,0.54
2.92,1.3363,0.51
2.93,1.3363,0.49
2.94,1.346,0.53
2.95,1.4574,0.55
2.96,1.5815,0.48
2.97,1.724,0.51
2.98,1.9417,0.53
2.99,2.0054,0.51
3.0,1.2699,0.52
3.01,1.3201,0.49
3.02,1.3201,0.51
3.03,1.5137,0.52
3.04,1.4261,0.52
3.04,1.4261,0.51
3.05,1.364,0.55
3.06,1.4038,0.5
3.07,1.364,0.53
3.08,1.4038,0.51
3.09,1.3568,0.54
3.1,1.3941,0.55
3.11,1.3568,0.54
3.12,1.1777,0.55
3.13,1.1529,0.53
3.14,1.1934,0.55
3.15,1.2498,0.53
3.16,1.2504,0.58
3.17,1.0575,0.55
3.17,1.2032,0.51
3.18,1.4386,0.53
3.19,1.1149,0.52
3.2,1.4386,0.51
3.21,1.2235,0.54
3.22,1.5728,0.54
3.23,1.3959,0.53
3.24,1.3959,0.55
3.25,1.1807,0.54
3.26,1.1739,0.56
3.27,1.1739,0.56
3.28,0.9677,0.56
3.29,0.9677,0.56
3.29,1.1624,0.56
3.3,1.1141,0.6
3.31,1.1141,0.56
3.32,1.1624,0.51
3.33,1.4757,0.53
3.34,1.3931,0.53
3.35,1.2235,0.56
3.36,1.1009,0.56
3.37,1.5959,0.56
3.38,1.6871,0.54
3.39,1.3159,0.51
3.4,1.3159,0.54
3.41,1.5399,0.53
3.42,1.228,0.56
3.42,1.1849,0.55
3.43,1.1165,0.56
3.44,1.3335,0.55
3.45,1.4602,0.56
3.46,1.4544,0.56
3.47,1.4087,0.56
3.48,1.248,0.56
3.49,1.248,0.57
3.5,1.4421,0.54
3.51,1.4421,0.53
3.52,1.4365,0.54
3.53,1.3241,0.57
3.54,1.4359,0.53
3.54,1.3081,0.56
3.55,1.4359,0.54
3.56,1.2749,0.58
3.57,1.2749,0.55
3.58,1.3765,0.56
3.59,1.3765,0.54
3.6,1.2574,0.52
3.61,1.0677,0.57
3.62,1.1841,0.53
3.63,1.0677,0.56
3.64,1.2239,0.56
3.65,1.2431,0.56
3.66,1.2431,0.56
3.67,1.3588,0.54
3.67,1.2431,0.54
3.68,1.3588,0.57
3.69,1.3742,0.56
3.7,1.1337,0.58
3.71,0.847,0.52
3.72,1.3148,0.55
3.73,1.4047,0.56
3.74,1.693,0.57
3.75,1.693,0.56
3.76,1.2631,0.53
3.77,1.2571,0.59
3.78,1.2306,0.56
3.79,1.2851,0.58
3.79,1.2314,0.55
3.8,1.2314,0.58
3.81,1.3519,0.58
3.82,1.2314,0.56
3.83,1.3633,0.57
3.84,1.3686,0.57
3.85,1.4007,0.57
3.86,1.4119,0.55
3.87,1.2009,0.61
3.88,1.2009,0.57
3.89,1.2321,0.56
3.9,1.3646,0.53
3.91,1.2757,0.56
3.92,1.5836,0.59
3.92,1.3859,0.53
3.93,1.36,0.55
3.94,1.3261,0.57
3.95,1.36,0.58
3.96,1.1679,0.58
3.97,1.3007,0.59
3.98,1.1991,0.59
3.99,1.3421,0.55
4.0,1.3438,0.56
4.01,1.2487,0.56
4.02,1.1715,0.57
4.03,1.0198,0.6
4.04,1.007,0.56
4.04,1.5153,0.55
4.05,1.5153,0.57
4.06,1.3006,0.58
4.07,1.2178,0.56
4.08,0.8332,0.58
4.09,0.8496,0.56
4.1,1.1517,0.55
4.11,1.0789,0.51
4.12,1.1517,0.58
4.13,1.1404,0.56
4.14,1.0892,0.59
4.15,1.037,0.56
4.16,1.0685,0.54
4.17,1.0892,0.56
4.17,1.2054,0.54
4.18,1.0504,0.53
4.19,1.1215,0.6
4.2,1.1215,0.57
4.21,1.1232,0.57
4.22,1.1779,0.57
4.23,1.1232,0.55
4.24,1.221,0.54
4.25,1.0336,0.6
4.26,1.1919,0.56
4.27,1.1091,0.57
4.28,1.1919,0.58
4.29,1.169,0.59
4.29,1.1731,0.58
4.3,0.9642,0.58
4.31,1.2099,0.56
4.32,1.133,0.56
4.33,1.2099,0.54
4.34,1.133,0.58
4.35,1.2333,0.58
4.36,1.1056,0.58
4.37,1.3549,0.57
4.38,1.1056,0.53
4.39,1.3691,0.59
4.4,1.3759,0.56
4.41,1.2839,0.58
4.42,1.0714,0.57
4.42,1.3021,0.53
4.43,1.3021,0.58
