progress,train_loss,train_accuracy,valid_accuracy,valid_loss
0.1,0.0014,0.71,0.73,0.012
0.2,0.0012,0.73,0.77,0.0099
0.3,0.0014,0.57,0.67,0.0129
0.4,0.0011,0.76,0.83,0.0091
0.5,0.0012,0.74,0.75,0.0094
0.6,0.001,0.77,0.83,0.0077
0.69,0.0014,0.71,0.83,0.0099
0.79,0.001,0.73,0.81,0.007
0.89,0.0009,0.78,0.83,0.0071
0.99,0.0011,0.72,0.75,0.0104
1.1,0.0009,0.78,0.84,0.0072
1.2,0.0009,0.79,0.78,0.0086
1.3,0.0011,0.73,0.73,0.0099
1.4,0.0009,0.77,0.78,0.0076
1.5,0.0008,0.77,0.8,0.0064
1.6,0.001,0.72,0.81,0.007
1.69,0.0008,0.8,0.84,0.0063
1.79,0.0009,0.78,0.86,0.0073
1.89,0.0008,0.78,0.78,0.0086
1.99,0.0007,0.83,0.84,0.0075
2.1,0.0008,0.78,0.8,0.0082
2.2,0.0008,0.81,0.78,0.0098
2.3,0.0008,0.83,0.83,0.0089
2.4,0.0008,0.81,0.77,0.0109
2.5,0.0007,0.84,0.81,0.0096
2.6,0.0007,0.85,0.77,0.0125
2.69,0.0009,0.8,0.77,0.0097
2.79,0.0007,0.79,0.84,0.0061
2.89,0.0008,0.82,0.84,0.0061
2.99,0.001,0.78,0.78,0.0119
3.1,0.0008,0.82,0.8,0.0093
3.2,0.0007,0.86,0.81,0.0073
3.3,0.0006,0.87,0.81,0.0069
3.4,0.0006,0.87,0.81,0.0068
3.5,0.0006,0.87,0.86,0.0062
3.6,0.0006,0.88,0.81,0.0062
3.69,0.0006,0.87,0.83,0.0061
3.79,0.0006,0.88,0.83,0.006
3.89,0.0006,0.87,0.8,0.0055
3.99,0.0005,0.88,0.86,0.0065
4.1,0.0006,0.87,0.84,0.0059
4.2,0.0005,0.87,0.84,0.006
4.3,0.0005,0.88,0.84,0.0061
4.4,0.0005,0.89,0.86,0.0054
4.5,0.0005,0.88,0.83,0.0055
4.6,0.0005,0.88,0.83,0.0055
4.69,0.0005,0.88,0.89,0.0055
4.79,0.0005,0.88,0.86,0.006
4.89,0.0005,0.88,0.88,0.0058
4.99,0.0005,0.89,0.88,0.0057
5.1,0.0005,0.88,0.88,0.0058
5.2,0.0005,0.89,0.86,0.0059
5.3,0.0005,0.89,0.88,0.0056
5.4,0.0005,0.9,0.84,0.0058
5.5,0.0005,0.89,0.89,0.0056
5.6,0.0005,0.91,0.91,0.006
5.69,0.0005,0.9,0.84,0.0061
5.79,0.0005,0.9,0.88,0.0053
5.89,0.0005,0.91,0.88,0.0059
5.99,0.0004,0.9,0.86,0.0058
