progress,train_loss,train_accuracy,valid_accuracy,valid_loss
0.1,0.0042,0.26,0.27,0.0378
0.2,0.0033,0.6,0.5,0.0304
0.3,0.0021,0.75,0.7,0.0228
0.4,0.0014,0.82,0.8,0.0156
0.5,0.0011,0.86,0.81,0.0112
0.6,0.0008,0.87,0.86,0.011
0.69,0.0005,0.92,0.91,0.0078
0.79,0.0014,0.81,0.77,0.0172
0.89,0.0005,0.95,0.95,0.006
0.99,0.0005,0.93,0.92,0.0054
1.1,0.0003,0.96,0.91,0.0056
1.2,0.0004,0.95,0.94,0.0037
1.3,0.0003,0.96,0.97,0.0034
1.4,0.0002,0.97,0.97,0.0033
1.5,0.0001,0.98,0.97,0.0026
1.6,0.0002,0.97,0.97,0.0025
1.69,0.0002,0.97,0.97,0.0024
1.79,0.0002,0.97,0.95,0.0028
1.89,0.0002,0.97,0.94,0.0047
1.99,0.0002,0.98,0.98,0.0009
2.1,0.0001,0.99,0.97,0.002
2.2,0.0001,0.98,0.95,0.0023
2.3,0.0001,0.99,1.0,0.0004
2.4,0.0,0.99,1.0,0.0002
2.5,0.0001,0.99,0.97,0.001
2.6,0.0,0.99,0.95,0.0016
2.69,0.0,0.99,0.98,0.0014
2.79,0.0,0.99,0.95,0.0019
2.89,0.0001,0.99,0.98,0.0022
2.99,0.0001,0.99,0.97,0.0016
3.1,0.0001,0.99,0.97,0.0012
3.2,0.0001,0.99,0.98,0.0006
3.3,0.0001,0.99,0.97,0.0011
3.4,0.0001,0.99,0.98,0.0013
3.5,0.0,0.99,0.97,0.0011
3.6,0.0,0.99,1.0,0.0009
3.69,0.0,1.0,1.0,0.0004
3.79,0.0,1.0,0.97,0.0003
3.89,0.0,1.0,1.0,0.0007
3.99,0.0,1.0,1.0,0.0005
4.1,0.0,0.99,0.95,0.0002
4.2,0.0,1.0,0.97,0.0007
4.3,0.0,1.0,1.0,0.0005
4.4,0.0,1.0,1.0,0.0004
4.5,0.0,1.0,1.0,0.0006
4.6,0.0,1.0,0.98,0.0003
4.69,0.0,1.0,0.98,0.0001
4.79,0.0,1.0,1.0,0.0002
4.89,0.0,1.0,1.0,0.0002
4.99,0.0,1.0,1.0,0.0004
5.1,0.0,1.0,1.0,0.0001
5.2,0.0,1.0,1.0,0.0001
5.3,0.0,1.0,1.0,0.0002
5.4,0.0,1.0,1.0,0.0001
5.5,0.0,1.0,1.0,0.0001
5.6,0.0,1.0,0.98,0.0005
5.69,0.0,1.0,1.0,0.0002
5.79,0.0,1.0,1.0,0.0002
5.89,0.0,1.0,1.0,0.0
5.99,0.0,1.0,1.0,0.0001
6.1,0.0,1.0,1.0,0.0001
6.2,0.0,1.0,1.0,0.0001
6.3,0.0,1.0,1.0,0.0001
6.4,0.0,1.0,1.0,0.0001
6.5,0.0,1.0,1.0,0.0005
6.6,0.0,1.0,1.0,0.0001
6.69,0.0,1.0,1.0,0.0001
6.79,0.0,1.0,0.98,0.0001
6.89,0.0,1.0,1.0,0.0001
6.99,0.0,1.0,1.0,0.0
7.1,0.0,1.0,0.98,0.0001
7.2,0.0,1.0,1.0,0.0002
7.3,0.0,1.0,1.0,0.0001
7.4,0.0,1.0,1.0,0.0001
7.5,0.0,1.0,0.98,0.0
7.6,0.0,1.0,1.0,0.0
7.69,0.0,1.0,1.0,0.0001
7.79,0.0,1.0,1.0,0.0001
7.89,0.0,1.0,1.0,0.0008
7.99,0.0,1.0,1.0,0.0
8.1,0.0,1.0,1.0,0.0001
8.2,0.0,1.0,1.0,0.0001
8.3,0.0,1.0,1.0,0.0002
8.4,0.0,1.0,1.0,0.0001
8.5,0.0,1.0,1.0,0.0
8.6,0.0,1.0,1.0,0.0001
8.69,0.0,1.0,0.98,0.0
8.79,0.0,1.0,1.0,0.0004
8.89,0.0,1.0,1.0,0.0
8.99,0.0,1.0,1.0,0.0001
9.1,0.0,1.0,1.0,0.0001
9.2,0.0,1.0,1.0,0.0001
9.3,0.0,1.0,1.0,0.0001
9.4,0.0,1.0,1.0,0.0001
9.5,0.0,1.0,1.0,0.0
9.6,0.0,1.0,1.0,0.0001
9.69,0.0,1.0,1.0,0.0001
9.79,0.0,1.0,1.0,0.0009
9.89,0.0,1.0,1.0,0.0001
9.99,0.0,1.0,1.0,0.0
10.1,0.0,1.0,1.0,0.0001
10.2,0.0,1.0,1.0,0.0001
10.3,0.0,1.0,1.0,0.0002
10.4,0.0,1.0,1.0,0.0
10.5,0.0,1.0,1.0,0.0
10.6,0.0,1.0,1.0,0.0
10.69,0.0,1.0,1.0,0.0001
10.79,0.0,1.0,1.0,0.0
10.89,0.0,1.0,1.0,0.0
10.99,0.0,1.0,1.0,0.0001
11.1,0.0,1.0,1.0,0.0
11.2,0.0,1.0,1.0,0.0
11.3,0.0,1.0,1.0,0.0
11.4,0.0,1.0,1.0,0.0
11.5,0.0,1.0,1.0,0.0
11.6,0.0,1.0,1.0,0.0
11.69,0.0,1.0,1.0,0.0
11.79,0.0,1.0,1.0,0.0001
11.89,0.0,1.0,1.0,0.0
11.99,0.0,1.0,1.0,0.0
12.1,0.0,1.0,1.0,0.0
12.2,0.0,1.0,1.0,0.0002
12.3,0.0,1.0,1.0,0.0
12.4,0.0,1.0,1.0,0.0
12.5,0.0,1.0,1.0,0.0
12.6,0.0,1.0,1.0,0.0
12.69,0.0,1.0,1.0,0.0
12.79,0.0,1.0,1.0,0.0
12.89,0.0,1.0,1.0,0.0
12.99,0.0,1.0,1.0,0.0
13.1,0.0,1.0,1.0,0.0
13.2,0.0,1.0,1.0,0.0
13.3,0.0,1.0,1.0,0.0
13.4,0.0,1.0,1.0,0.0
13.5,0.0,1.0,1.0,0.0001
13.6,0.0,1.0,1.0,0.0001
13.69,0.0,1.0,1.0,0.0001
13.79,0.0,1.0,1.0,0.0
13.89,0.0,1.0,1.0,0.0
13.99,0.0,1.0,1.0,0.0001
14.1,0.0,1.0,1.0,0.0008
14.2,0.0,1.0,1.0,0.0
14.3,0.0,1.0,1.0,0.0
14.4,0.0,1.0,1.0,0.0
14.5,0.0,1.0,1.0,0.0001
14.6,0.0,1.0,1.0,0.0
14.69,0.0,1.0,1.0,0.0003
14.79,0.0,1.0,1.0,0.0
14.89,0.0,1.0,1.0,0.0
14.99,0.0,1.0,1.0,0.0
15.1,0.0,1.0,1.0,0.0
15.2,0.0,1.0,1.0,0.0
15.3,0.0,1.0,1.0,0.0001
15.4,0.0,1.0,1.0,0.0
15.5,0.0,1.0,1.0,0.0001
15.6,0.0,1.0,1.0,0.0
15.69,0.0,1.0,1.0,0.0
15.79,0.0,1.0,1.0,0.0001
15.89,0.0,1.0,1.0,0.0
15.99,0.0,1.0,1.0,0.0
16.1,0.0,1.0,1.0,0.0
16.2,0.0,1.0,1.0,0.0
16.3,0.0,1.0,1.0,0.0
16.4,0.0,1.0,1.0,0.0
16.5,0.0,1.0,1.0,0.0
16.6,0.0,1.0,1.0,0.0
16.69,0.0,1.0,1.0,0.0
16.79,0.0,1.0,1.0,0.0
16.89,0.0,1.0,1.0,0.0001
16.99,0.0,1.0,1.0,0.0
17.1,0.0,1.0,0.98,0.0001
17.2,0.0,1.0,0.98,0.0002
17.3,0.0,1.0,1.0,0.0
17.4,0.0,1.0,0.98,0.0
17.5,0.0,1.0,1.0,0.0
17.6,0.0,1.0,1.0,0.0
17.69,0.0,1.0,1.0,0.0
17.79,0.0,1.0,1.0,0.0
17.89,0.0,1.0,1.0,0.0
17.99,0.0,1.0,1.0,0.0
18.1,0.0,1.0,1.0,0.0
18.2,0.0,1.0,1.0,0.0007
18.3,0.0,1.0,1.0,0.0
18.4,0.0,1.0,1.0,0.0001
18.5,0.0,1.0,1.0,0.0
18.6,0.0,1.0,1.0,0.0
18.69,0.0,1.0,1.0,0.0
18.79,0.0,1.0,1.0,0.0001
18.89,0.0,1.0,0.98,0.0001
18.99,0.0,1.0,1.0,0.0
19.1,0.0,1.0,1.0,0.0001
19.2,0.0,1.0,1.0,0.0002
19.3,0.0,1.0,0.98,0.0001
19.4,0.0,1.0,1.0,0.0004
19.5,0.0,1.0,1.0,0.0
19.6,0.0,1.0,1.0,0.0006
19.69,0.0,1.0,1.0,0.0
19.79,0.0,1.0,1.0,0.0002
19.89,0.0,1.0,1.0,0.0
19.99,0.0,1.0,1.0,0.0
20.1,0.0,1.0,1.0,0.0
20.2,0.0,1.0,1.0,0.0
20.3,0.0,1.0,1.0,0.0
20.4,0.0,1.0,1.0,0.0
20.5,0.0,1.0,1.0,0.0001
20.6,0.0,1.0,1.0,0.0
20.69,0.0,1.0,1.0,0.0005
20.79,0.0,1.0,1.0,0.0
20.89,0.0,1.0,1.0,0.0
20.99,0.0,1.0,1.0,0.0
21.1,0.0,1.0,1.0,0.0
21.2,0.0,1.0,1.0,0.0
21.3,0.0,1.0,1.0,0.0
21.4,0.0,1.0,1.0,0.0
21.5,0.0,1.0,1.0,0.0
21.6,0.0,1.0,1.0,0.0
21.69,0.0,1.0,1.0,0.0
21.79,0.0,1.0,1.0,0.0
21.89,0.0,1.0,1.0,0.0
21.99,0.0,1.0,1.0,0.0
22.1,0.0,1.0,1.0,0.0003
22.2,0.0,1.0,1.0,0.0
22.3,0.0,1.0,1.0,0.0
22.4,0.0,1.0,1.0,0.0
22.5,0.0,1.0,1.0,0.0
22.6,0.0,1.0,1.0,0.0
22.69,0.0,1.0,1.0,0.0
22.79,0.0,1.0,1.0,0.0
22.89,0.0,1.0,1.0,0.0
22.99,0.0,1.0,1.0,0.0
23.1,0.0,1.0,1.0,0.0
